Company,Year,เงินสดและรายการเทียบเท่าเงินสด,ลูกหนี้และตั๋วเงินรับการค้าสุทธิ,สินค้าคงเหลือ,รวมสินทรัพย์หมุนเวียน,ที่ดินอาคารและอุปกรณ์สุทธิ,รวมสินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์,เงินเบิกเกินบัญชีและเงินกู้ยืม,เจ้าหนี้และตั๋วเงินจ่ายการค้าสุทธิ,หนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รวมหนี้สิน,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่า,ส่วนเกิน(ต่ำกว่า)มูลค่าหุ้น,กำไร(ขาดทุน)สะสม,หุ้นทุนรับซื้อคืน,หุ้นที่ถือโดยบริษัทย่อย,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,ส่วนเกิน (ต่ำกว่า) ทุน,รวมส่วนของผู้ถือหุ้นบริษัทใหญ่,ส่วนของผู้ถือหุ้นส่วนน้อย,รายได้จากการดำเนินธุรกิจ,รายได้อื่น,รวมรายได้,ต้นทุน,ค่าใช้จ่ายในการขายและบริหาร,รวมต้นทุนและค่าใช้จ่าย,EBITDA,ค่าเสื่อมและค่าตัดจำหน่าย,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และภาษีเงินได้,กำไร(ขาดทุน)สุทธิ : ผู้ถือหุ้นบริษัทใหญ่,กำไรต่อหุ้น (บาท),เงินสดสุทธิจากกิจกรรมดำเนินงาน,เงินสดสุทธิจากกิจกรรมลงทุน,เงินสดสุทธิจากกิจกรรมจัดหาเงิน,เงินสดสุทธิ,อัตราส่วนสภาพคล่อง (เท่า),อัตราผลตอบแทนผู้ถือหุ้น (%),อัตราผลตอบแทนจากสินทรัพย์ (%),อัตราส่วนหนี้สินต่อส่วนของผู้ถือหุ้น (เท่า),อัตราส่วนหมุนเวียนทรัพย์สิน (เท่า),อัตรากำไรขั้นต้น (%),EBIT Margin (%),อัตรากำไรสุทธิ (%),อัตราส่วนหมุนเวียนลูกหนี้การค้า (เท่า),ระยะเวลาเก็บหนี้เฉลี่ย (วัน),อัตราส่วนหมุนเวียนสินค้าคงเหลือ (เท่า),ระยะเวลาขายสินค้าเฉลี่ย (วัน),อัตราส่วนหมุนเวียนเจ้าหนี้การค้า (เท่า),ระยะเวลาชำระหนี้เจ้าหนี้การค้า (วัน),วงจรเงินสด (วัน)
STARK,2019-12-31,1431.14,3464.59,3671.42,8707.07,2603.58,3947.62,12654.69,1706.3,4840.8,666.27,8137.51,2203.82,10341.33,14332.76,14049.56,-1711.14,964.68,,,-11035.37,-493.2,2267.72,45.64,11528.85,10.19,11607.71,10102.65,607.44,10872.54,1083.15,192.77,890.38,123.92,0.01,676.1,-620.13,720.07,776.04,,,,,,,,,,,,,,,
STARK,2020-12-31,1156.03,6041.75,8618,16330.92,4212.54,10985.57,27316.49,7107.24,10247.6,1056.84,19649.17,3903.6,23552.77,15875.21,11906.4,,2935.11,,,-11133.01,-493.2,3708.5,55.22,16858.04,40.61,16917.68,13869.41,865.59,14720.23,3055.03,357.43,2697.6,1608.66,0.14,3003.56,-6531.81,3272.85,-255.4,0.83,53.84,13.5,6.26,0.85,17.73,15.95,9.57,3.55,102.91,2.26,161.71,1.84,198.54,66.08
STARK,2021-12-31,1029.48,15570.82,10486.81,27961.64,4413.32,11180.47,39142.11,3443.8,17092.54,1711.43,23548.24,9002.61,32550.85,15875.21,11906.4,,5633.25,,,-11035.04,-493.2,6504.61,86.64,27093.66,13.8,27129.64,21700.29,1128.99,22655.37,4902.65,430.32,4472.32,2783.11,0.23,-1225.48,-406.02,1560.92,-70.59,1.19,54.5,13.46,4.94,0.82,19.91,16.49,10.3,2.51,145.58,2.27,160.67,1.59,229.93,76.32
STARK,2022-12-31,6117.56,7799.54,10004.31,24093.2,4201.38,10069.46,34162.65,5270.53,17543.71,7391.71,30721.43,7844.89,38566.31,17375.21,13406.4,4080,-10378.52,,,-11522.62,-493.2,-4414.73,,25263.36,11.95,25312.98,25130.41,1550.96,30154.66,-4321,479.03,-4800.03,-6612.13,-0.54,-4629.89,-862.47,10719.5,5227.14,0.78,-632.78,-13.1,,0.69,0.53,-18.96,-26.28,2.16,168.83,2.45,148.81,1.45,251.53,66.1
ALLA,2019-12-31,353.04,150.18,181.34,742.19,230.67,281.26,1023.45,,32.73,1.23,122.87,52.32,175.19,300,300,348.49,199.73,,,0.05,0.05,848.26,,538.29,3.67,544.07,381.07,108.87,489.94,68.21,14.08,54.13,43.15,0.07,124.29,120.54,-61.93,182.9,,,,,,,,,,,,,,,
ALLA,2020-12-31,280.29,165.59,259.39,766.51,256.19,314.5,1081.02,,51.13,,188.48,52.61,241.09,300,300,348.49,191.39,,,0.05,0.05,839.92,,502.07,3.47,506.85,359.13,105.56,464.68,55.26,13.09,42.17,33.66,0.06,-3.19,-26.29,-43.27,-72.75,4.07,3.99,4.01,0.29,0.48,28.47,8.32,6.64,3.18,114.78,1.63,223.97,8.56,42.62,296.13
ALLA,2021-12-31,239.19,244.56,271.05,821.67,275.28,344.76,1166.43,,72.09,,245.51,57.77,303.28,300,300,348.49,214.62,,,0.05,0.05,863.16,,712.14,6.78,720.48,536.09,118.53,654.63,81.68,15.83,65.85,53.14,0.09,39.04,-49.73,-30.41,-41.1,3.35,6.24,5.86,0.35,0.64,24.72,9.14,7.38,3.47,105.11,2.02,180.57,8.7,41.95,243.73
ALLA,2022-12-31,211.3,148.28,302.07,727.3,273.72,342.06,1069.36,,76.63,,189.59,52.57,242.16,300,300,348.49,178.66,,,0.05,0.05,827.19,,319.78,4.77,325.33,247.37,56.54,303.91,29.3,7.88,21.42,17.27,0.03,0.78,-39.56,-30.21,-68.99,3.84,5.02,4.89,0.29,0.6,22.64,6.59,5.31,4.57,79.79,1.68,217.73,5.62,64.93,232.59
ALLA,2023-06-30,225.63,182.21,276.73,780,273.57,341.82,1121.82,,59.06,,201.84,58.46,260.3,300,300,348.49,212.99,,,0.05,0.05,861.52,,375.98,2.41,379.49,264.24,65.13,329.37,58.14,8.02,50.12,40.36,0.07,60.7,-32.04,-42.22,-13.56,3.86,9.03,8.63,0.3,0.71,29.72,13.21,10.64,4.65,78.5,1.91,191.03,8.15,44.78,224.74
ASEFA,2019-12-31,157.52,636.2,612.17,1694.61,619.94,780.78,2475.39,110,657.32,,785.25,48.39,833.64,550,550,386.7,737.06,13.5,,1.98,1.98,1662.25,-20.51,2688.89,23.46,2712.35,2113.69,342.16,2455.86,305.17,48.67,256.5,218.5,0.4,106.19,-22.01,-30.74,53.43,,,,,,,,,,,,,,,
ASEFA,2020-12-31,73.93,600.21,609.58,1585.06,596.16,886.77,2471.83,150,571.83,,798.12,61.54,859.66,550,550,386.7,711.52,13.5,,1.98,1.98,1636.71,-24.54,2599.01,33.09,2632.1,2118.61,343.89,2462.5,214.7,45.1,169.6,138.34,0.25,167.01,-133.09,-117.51,-83.59,1.99,8.39,6.86,0.53,1.06,18.48,6.44,5.2,4.2,86.82,3.47,105.24,3.45,105.88,86.18
ASEFA,2021-12-31,160.3,764.58,702.16,2094.95,593.51,825.68,2920.63,429.22,733.22,,1259.07,77.82,1336.89,550,550,386.7,685.4,13.5,,1.98,1.98,1610.58,-26.84,3090.66,27.85,3118.52,2558.88,426.35,2985.22,173.69,41.15,132.54,103.33,0.19,-52.53,-13.69,152.6,86.37,1.66,6.36,4.92,0.84,1.16,17.21,4.25,3.37,4.53,80.59,3.9,93.55,3.92,93.08,81.07
ASEFA,2022-12-31,98.8,537.76,697.09,1776.31,593.51,818.99,2595.3,280.01,603.64,,996.46,63.53,1060,550,550,386.7,640.38,13.5,,1.98,1.98,1565.57,-30.27,1300.16,14.34,1314.5,1069.65,184.59,1254.25,80.58,20.32,60.26,48.9,0.09,23.19,-2.5,4.18,24.87,1.78,8.77,7.11,0.69,1.17,17.73,4.58,3.63,5.9,61.84,3.39,107.83,4.45,82.08,87.58
ASEFA,2023-06-30,205.57,684.97,761.45,2141.76,615.55,888.49,3030.25,631.57,689.37,,1432.16,82.15,1514.32,550,550,386.7,655.41,47.22,,1.7,1.7,1546.59,-30.66,1659.09,13.34,1672.42,1369.54,214.25,1583.79,109.23,21.52,87.71,67.51,0.12,42.54,-64.07,66.79,45.26,1.5,7.84,5.69,1,1.24,17.45,5.24,3.99,5.64,64.69,3.92,93.11,4.42,82.54,75.26
CPT,2019-12-31,217.42,407.9,89.58,838.15,389.1,431.1,1269.25,7.96,149.61,,232.74,34.35,267.08,739.5,450,469.63,60.01,,,,,1002.04,0.12,943.07,6.43,949.5,833.05,109.02,942.07,32.69,23.9,8.79,5.53,0.01,-195.97,372.21,2.89,179.12,,,,,,,,,,,,,,,
CPT,2020-12-31,146.88,263.06,153.85,805.25,377.67,529.1,1334.35,,263.28,,400.7,30.07,430.78,739.5,450,469.63,-38.58,,,,,903.45,0.12,778.74,8.55,787.29,808.96,86.79,895.76,-82.49,25.02,-107.52,-86.11,-0.1,179.58,-222.21,-27.9,-70.53,2.01,-9.04,-8.26,0.48,0.6,-3.88,-13.66,-10.94,2.32,157.24,6.65,54.92,3.92,93.15,119.01
CPT,2021-12-31,142.88,177.86,227.58,711.39,357.73,589.99,1301.38,,296.33,,414.07,29.14,443.21,739.5,450,431.19,-45.43,,,,,858.17,,1342.12,5.84,1347.97,1266.62,130.87,1397.49,-23.48,26.78,-50.26,-45.28,-0.05,-62.06,61.49,-3.43,-4,1.72,-5.14,-3.81,0.52,1.02,5.63,-3.73,-3.36,6.09,59.96,6.64,54.96,4.53,80.63,34.28
CPT,2022-06-30,56.13,292.81,201.94,816.58,370.81,564.39,1380.98,,341.46,,440.06,32.42,472.48,739.5,450,431.19,4.9,,,,,908.49,,666.33,3.63,669.97,608.01,56.07,664.07,19.8,13.39,6.41,5.04,0.01,-84.39,-5.53,-0.83,-90.75,1.86,-6.13,-5.46,0.52,0.84,8.75,0.96,0.75,3.93,92.88,7.18,50.85,4.36,83.74,59.99
CPT,2023-06-30,154.37,196.72,208.91,753.5,341.43,531.19,1284.69,,248.9,,353.24,31.65,384.89,739.5,450,408.27,41.53,,,,,899.8,,643.65,4.44,648.1,565.27,54.78,620.05,64.64,12.31,52.33,41.63,0.05,12.8,-0.73,-0.58,11.49,2.13,-0.96,-0.33,0.43,0.99,12.18,8.07,6.42,5.39,67.71,5.96,61.27,4.15,88.03,40.94
